Date,JDfrom0,Iprec,WindSp,WindDir,RelHum,AirT,CloudFactor
07/04/2016 12:00,736427.500000,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
07/04/2016 13:00,736427.541667,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
07/04/2016 14:00,736427.583333,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
07/04/2016 15:00,736427.625000,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
07/04/2016 16:00,736427.666667,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
07/04/2016 17:00,736427.708333,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
07/04/2016 18:00,736427.750000,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
07/04/2016 19:00,736427.791667,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
07/04/2016 20:00,736427.833333,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
07/04/2016 21:00,736427.875000,0.100000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
07/04/2016 22:00,736427.916667,0.200000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
07/04/2016 23:00,736427.958333,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
08/04/2016 00:00,736428.000000,0.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
08/04/2016 01:00,736428.041667,0.200000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
08/04/2016 02:00,736428.083333,0.300000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
08/04/2016 03:00,736428.125000,0.400000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
08/04/2016 04:00,736428.166667,0.200000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
08/04/2016 05:00,736428.208333,0.400000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
08/04/2016 06:00,736428.250000,0.800000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
08/04/2016 07:00,736428.291667,0.500000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
08/04/2016 08:00,736428.333333,0.200000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
08/04/2016 09:00,736428.375000,0.400000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
08/04/2016 10:00,736428.416667,0.400000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
08/04/2016 11:00,736428.458333,0.900000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
08/04/2016 12:00,736428.500000,1.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
08/04/2016 13:00,736428.541667,0.800000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
08/04/2016 14:00,736428.583333,0.500000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
08/04/2016 15:00,736428.625000,1.100000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
08/04/2016 16:00,736428.666667,0.300000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
08/04/2016 17:00,736428.708333,0.600000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
08/04/2016 18:00,736428.750000,0.700000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
08/04/2016 19:00,736428.791667,0.500000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
08/04/2016 20:00,736428.833333,0.500000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
08/04/2016 21:00,736428.875000,0.500000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
08/04/2016 22:00,736428.916667,0.200000,-9999.000000,-9999.000000,-9999.000000,-9999.000000,-9999.000000
